Interactor	Evidence_description	PMID,
AT1G21900	Affinity Capture-Western	25312353,
AT1G29330	Affinity Capture-Western	25312353,
AT2G37550	Affinity Capture-Western,Reconstituted Complex	17307897
AT3G61570	fusion protein pull-down assay	17307898,
AT4G01190	affinity capture,fusion protein pull-down assay	17379598
AT5G03240	affinity capture	23667124,
